Seq,Positions
1912,270-352,359-397,407-450,473-520
1913,521-579
1914,89-130,420-462
1915,479-560
1916,537-613
1917,15-56
1918,260-374,427-484
1919,353-417
1920,414-466
1921,410-485
1922,289-354,379-463
1923,218-267,409-446
1924,235-271
1925,440-509
1926,360-414
1927,413-460
1928,344-385
1929,232-306,413-511
1930,30-90
1931,415-498
1932,339-450
1933,15-80,449-510
1934,463-502,549-613
1935,448-488,493-548
1936,184-250
1937,423-472
1938,425-487
1939,
1940,
1941,346-539
1942,366-417
1943,380-503
1944,
1945,148-415
1946,308-425,500-550
1947,215-257,547-613
